number,name,sum,-14,15-64,65-,sum_M,-14_M,15-64_M,65-_M,sum_F,-14_F,15-64_F,65-_F
00,全国,126654244,15319131,75566552,35768503,61797907,7852993,38377387,15567512,64856337,7466138,37189165,20200991
01,北海道,5228732,560651,2997094,1668858,2471013,287100,1484337,698835,2757719,273551,1512757,970023
02,青森県,1260067,132754,706292,420569,597036,67837,355583,173526,663031,64917,350709,247043
03,岩手県,1221205,134330,678544,407949,588436,68772,346790,172754,632769,65558,331754,235195
04,宮城県,2282106,272146,1365412,644431,1113109,139701,691663,281702,1168997,132445,673749,362729
05,秋田県,971604,93742,515817,361729,458937,47939,260939,149996,512667,45803,254878,211733
06,山形県,1070017,120673,588903,359986,517251,61924,299540,155716,552766,58749,289363,204270
07,福島県,1862777,213518,1065998,582543,914498,109246,550482,254543,948279,104272,515516,328000
08,茨城県,2907678,343549,1713489,850637,1458519,176461,897059,384998,1449159,167088,816430,465639
09,栃木県,1955402,233559,1158811,563031,978577,120546,605017,253014,976825,113013,553794,310017
10,群馬県,1958185,229982,1145927,582192,971459,117877,594525,259028,986726,112105,551402,323164
11,埼玉県,7393849,890335,4543762,1959702,3696693,456244,2353305,887119,3697156,434091,2190457,1072583
12,千葉県,6322897,750226,3850865,1721801,3153052,384975,1993380,774697,3169845,365251,1857485,947104
13,東京都,13843525,1600618,9104176,3138535,6805319,819828,4621854,1363592,7038206,780790,4482322,1774943
14,神奈川県,9220245,1107903,5785017,2327286,4597371,568443,2989857,1039059,4622874,539460,2795160,1288227
15,新潟県,2213353,250308,1242608,720258,1075668,128377,635672,311563,1137685,121931,606936,408695
16,富山県,1047713,118029,593243,336402,509223,60789,305136,143269,538490,57240,288107,193133
17,石川県,1132656,139335,657970,335351,549362,71305,334274,143783,583294,68030,323696,191568
18,福井県,774596,96954,443586,234043,376740,49801,225410,101517,397856,47153,218176,132526
19,山梨県,821094,94617,474984,251396,402993,48324,244130,110489,418101,46293,230854,140907
20,長野県,2072219,248284,1168946,654507,1013022,127242,597580,288024,1059197,121042,571366,366483
21,岐阜県,2016868,247191,1165063,604537,983307,126722,591038,265529,1033561,120469,574025,339008
22,静岡県,3686335,444266,2145267,1096727,1823189,227956,1109355,485853,1863146,216310,1035912,610874
23,愛知県,7558872,996656,4674960,1887186,3786852,511321,2432353,843149,3772020,485335,2242607,1044037
24,三重県,1800756,217660,1050667,532230,882675,111529,538309,232819,918081,106131,512358,299411
25,滋賀県,1418886,195546,852975,370322,701072,100624,435176,165256,717814,94922,417799,205066
26,京都府,2530609,299984,1490791,739767,1212541,154063,741299,317147,1318068,145921,749492,422620
27,大阪府,8839532,1056254,5397645,2385612,4261993,540614,2691897,1029473,4577539,515640,2705748,1356139
28,兵庫県,5523627,684339,3262854,1576432,2646646,350563,1617089,678992,2876981,333776,1645765,897440
29,奈良県,1344952,157420,767172,420147,638190,80272,375286,182532,706762,77148,391886,237615
30,和歌山県,944750,107084,527563,309785,447493,54810,261593,130927,497257,52274,265970,178858
31,鳥取県,556959,69267,309253,178268,266681,35643,155733,75255,290278,33624,153520,103013
32,島根県,672979,82770,360510,229535,323755,42575,183362,97774,349224,40195,177148,131761
33,岡山県,1893874,238987,1086305,568499,915535,122973,547639,244886,978339,116014,538666,323613
34,広島県,2812477,357902,1632634,821897,1366170,183149,828113,354897,1446307,174753,804521,467000
35,山口県,1356144,156684,733646,465780,645033,80320,369210,195496,711111,76364,364436,270284
36,徳島県,735070,82954,407188,244807,351726,42735,203457,105488,383344,40219,203731,139319
37,香川県,973922,118575,552462,302859,471476,60833,279644,130988,502446,57742,272818,171871
38,愛媛県,1356343,158723,754030,443466,644546,81482,376301,186736,711797,77241,377729,256730
39,高知県,701531,76612,378224,246331,331622,39211,189299,102959,369909,37401,188925,143372
40,福岡県,5124259,682373,3029330,1412467,2438939,349460,1496223,593220,2685320,332913,1533107,819247
41,佐賀県,818251,110300,460328,247594,389236,56617,228033,104578,429015,53683,232295,143016
42,長崎県,1336023,167290,731131,437517,630044,85936,360308,183762,705979,81354,370823,253755
43,熊本県,1758815,232992,976977,548676,834752,119249,482595,232831,924063,113743,494382,315845
44,大分県,1141784,138970,627527,375244,543747,71121,314084,158525,598037,67849,313443,216719
45,宮崎県,1087372,143092,593525,350624,514993,73122,292754,149058,572379,69970,300771,201566
46,鹿児島県,1617850,214384,884627,518506,764241,110042,431920,222189,853609,104342,452707,296317
47,沖縄県,1485484,249184,903961,331973,733175,127239,455977,149769,752309,121945,447984,182204